Sample	posterior	ESS(posterior)	likelihood	prior
0	-8311.309534737027	N	-8300.899147701046	-10.410387035981923
1000	-8208.360716638434	2.0	-8202.822316133965	-5.538400504469227
2000	-8210.702658306123	3.0	-8204.121472661884	-6.581185644239049
3000	-8208.732201126864	4.0	-8202.444986305227	-6.2872148216376385
4000	-8209.17607781489	5.0	-8203.403011660223	-5.773066154665795
5000	-8208.612973911408	6.0	-8203.124392065027	-5.4885818463817335
6000	-8210.376777254472	7.0	-8204.848893948345	-5.5278833061278725
7000	-8212.836988965057	8.0	-8207.235848044145	-5.601140920911616
8000	-8207.562188850943	9.0	-8201.896812092462	-5.665376758480678
9000	-8209.302984967237	9.0	-8203.682932408201	-5.620052559035572
10000	-8207.783719048228	10.0	-8201.91165979464	-5.872059253588603
11000	-8208.194116941404	11.0	-8202.544357534664	-5.649759406741101
12000	-8207.923746408533	12.0	-8202.336202604842	-5.587543803690611
13000	-8209.539030675629	13.0	-8203.381099001632	-6.157931673996596
14000	-8210.19894833925	14.0	-8203.012774698642	-7.186173640608307
15000	-8212.009252993248	14.1	-8205.555148366375	-6.454104626872743
16000	-8208.286419887521	16.0	-8202.716692562704	-5.569727324817174
17000	-8215.215433953355	14.1	-8208.931404380688	-6.2840295726670075
18000	-8209.652154692774	15.1	-8203.839140108235	-5.813014584538528
19000	-8208.015625501943	18.0	-8202.372368067929	-5.643257434013484
20000	-8209.667522679289	19.0	-8203.700576555253	-5.966946124036286
21000	-8208.797313227778	20.0	-8203.102216690108	-5.695096537670517
22000	-8210.936736823662	21.0	-8205.079910726536	-5.856826097125972
23000	-8208.049253947001	22.0	-8202.20861248656	-5.84064146044121
24000	-8207.977842814036	23.0	-8202.395040760484	-5.582802053552376
25000	-8211.806981945037	24.0	-8206.162866444636	-5.644115500401174
26000	-8207.516918924726	25.0	-8202.031769966246	-5.4851489584804725
27000	-8208.73927375507	26.0	-8202.560378702383	-6.178895052688249
28000	-8207.585912317396	27.0	-8201.73305749205	-5.852854825344453
29000	-8210.589683414006	27.0	-8204.174652641346	-6.415030772658957
30000	-8210.136264971008	28.0	-8204.352219225178	-5.784045745830358
31000	-8211.966226492126	29.0	-8206.350738231042	-5.615488261083996
32000	-8208.506577231828	30.0	-8202.777227955608	-5.729349276220962
33000	-8211.2107958207	31.0	-8204.67779910367	-6.532996717029085
34000	-8209.336684951379	32.0	-8203.810344464704	-5.526340486674901
35000	-8207.779171237402	33.0	-8202.138619588592	-5.6405516488099385
36000	-8210.453580049252	34.0	-8204.940294448385	-5.513285600868578
37000	-8209.169155863105	35.0	-8203.39940411478	-5.769751748323872
38000	-8209.57566762602	36.0	-8203.679917144498	-5.895750481521889
39000	-8211.180042534395	36.0	-8205.49736214064	-5.682680393754058
40000	-8210.320969317458	37.0	-8202.645137253392	-7.675832064065071
41000	-8207.07675981175	38.0	-8201.674234149561	-5.402525662189073
42000	-8211.011957772773	39.0	-8205.402062389117	-5.609895383655138
43000	-8208.549573993456	40.0	-8202.491925478365	-6.057648515091218
44000	-8210.856533995915	41.0	-8204.47081157188	-6.3857224240351975
45000	-8210.489874771798	42.0	-8204.917577974451	-5.572296797347179
46000	-8214.252712523015	43.0	-8208.672306074606	-5.5804064484085485
47000	-8208.316503804972	44.0	-8202.5426983542	-5.773805450771656
48000	-8209.186217838598	45.0	-8203.215268459737	-5.970949378861541
49000	-8209.117699792958	45.0	-8203.076921320458	-6.040778472500236
50000	-8208.29617638232	46.0	-8202.539443541382	-5.756732840938992
51000	-8208.235802750922	47.0	-8202.480677110883	-5.755125640037791
52000	-8211.033047151892	48.0	-8205.347367026687	-5.685680125205048
53000	-8209.291154133865	49.0	-8203.732024899557	-5.559129234307915
54000	-8208.370817990903	50.0	-8202.795385895268	-5.575432095634254
55000	-8213.58461023096	51.0	-8207.817395217027	-5.76721501393378
56000	-8210.096040117325	52.0	-8204.366789132691	-5.729250984633378
57000	-8216.395732916097	49.6	-8210.920093820858	-5.475639095238668
58000	-8207.54852106771	54.0	-8201.49996290109	-6.048558166618934
59000	-8209.05193238241	54.0	-8203.306734795995	-5.74519758641452
60000	-8210.819979360931	55.0	-8204.511327343584	-6.30865201734705
61000	-8210.450822982019	56.0	-8204.640680988667	-5.810141993351062
62000	-8209.60298197102	57.0	-8203.881501889002	-5.721480082017715
63000	-8209.373253975768	58.0	-8203.591251954056	-5.782002021710822
64000	-8208.170500006625	59.0	-8202.469154019966	-5.701345986660209
65000	-8210.638280949217	60.0	-8204.99833460144	-5.639946347778256
66000	-8207.838327415344	61.0	-8202.217253636969	-5.621073778375006
67000	-8210.8240351207	62.0	-8205.270527715362	-5.553507405339319
68000	-8210.357299025853	63.0	-8204.717991045465	-5.63930798038821
69000	-8209.605320463947	63.0	-8203.810263550862	-5.7950569130851015
70000	-8207.0525577903	64.0	-8201.556927206178	-5.495630584121704
71000	-8209.704707244435	65.0	-8203.076604528533	-6.628102715901157
72000	-8208.927850279984	66.0	-8202.506229555727	-6.42162072425626
73000	-8210.052701950428	67.0	-8203.338115599097	-6.7145863513304
74000	-8209.153781194029	68.0	-8203.608805649368	-5.54497554465992
